Date,new case,total case,new death,total death,icu,active,total recover,new test,total test
2/26/2020,143,466,2,12,36,430,3,987,9587
2/27/2020,184,650,5,17,56,588,45,2427,12014
2/28/2020,238,888,4,21,64,821,46,3681,15695
2/29/2020,220,1108,8,29,105,1049,50,2966,18661
3/1/2020,581,1689,5,34,140,1577,83,2466,21127
3/2/2020,347,2036,18,52,166,1835,149,2218,23345
3/3/2020,466,2502,27,79,229,2263,160,2511,25856
3/4/2020,588,3090,28,107,295,2706,276,3981,29837
3/5/2020,784,3874,41,148,351,3296,414,2525,32362
3/6/2020,762,4636,49,197,462,3916,523,3997,36359
3/7/2020,1247,5883,36,233,567,5061,589,5703,42062
3/8/2020,1492,7375,133,366,650,6387,622,7875,49937
3/9/2020,1796,9171,97,463,733,7985,724,3889,53826
3/10/2020,978,10149,168,631,877,8514,1004,6935,60761
3/11/2020,2313,12462,196,827,1028,10590,1045,12393,73154
3/12/2020,2651,15113,189,1016,1153,12839,1258,12857,86011
3/13/2020,2547,17660,250,1266,1328,14955,1439,11477,97488
3/14/2020,3497,21157,175,1441,1518,17750,1966,11682,109170
3/15/2020,3590,24747,368,1809,1672,20603,2335,15729,124899
3/16/2020,3233,27980,349,2158,1851,23073,2749,13063,137962
3/17/2020,3526,31506,345,2503,2060,26062,2941,10695,148657
3/18/2020,4207,35713,475,2978,2257,28710,4025,16884,165541
3/19/2020,5322,41035,427,3405,2498,33190,4440,17236,182777
3/20/2020,5986,47021,627,4032,2655,37860,5129,24109,206886
3/21/2020,6557,53578,793,4825,2857,42681,6072,26336,233222
3/22/2020,5560,59138,650,5475,3009,46638,7024,25180,258402
3/23/2020,4789,63927,602,6077,3204,50418,7432,17066,275468
3/24/2020,5249,69176,743,6820,3396,54030,8326,21496,296964
3/25/2020,5210,74386,683,7503,3489,57521,9362,27481,324445
3/26/2020,6153,80539,712,8215,3612,62013,10361,36615,361060
3/27/2020,5959,86498,919,9134,3732,66414,10950,33019,394079
3/28/2020,5974,92472,889,10023,3856,70065,12384,35447,429526
3/29/2020,5217,97689,756,10779,3906,73880,13030,24504,454030
3/30/2020,4050,101739,812,11591,3981,75528,14620,23329,477359
3/31/2020,4053,105792,837,12428,4023,77635,15729,29609,506968
4/1/2020,4782,110574,727,13155,4035,80572,16847,34455,541423
4/2/2020,4668,115242,760,13915,4053,83049,18278,39809,581232
4/3/2020,4585,119827,766,14681,4068,85388,19758,38617,619849
4/4/2020,4805,124632,681,15362,3994,88274,20996,37375,657224
4/5/2020,4316,128948,525,15887,3977,91246,21815,34237,691461
4/6/2020,3599,132547,636,16523,3898,93187,22837,30271,721732
4/7/2020,3039,135586,604,17127,3792,94067,24392,33713,755445
4/8/2020,3836,139422,542,17669,3693,95262,26491,51680,807125
4/9/2020,4204,143626,610,18279,3605,96877,28470,46244,853369
4/10/2020,3951,147577,570,18849,3497,98273,30455,53495,906864
4/11/2020,4694,152271,619,19468,3381,100269,32534,56609,963473
4/12/2020,4092,156363,431,19899,3343,102253,34211,46720,1010193
4/13/2020,3153,159516,566,20465,3260,103616,35435,36717,1046910
4/14/2020,2972,162488,602,21067,3186,104291,37130,26779,1073689
4/15/2020,2667,165155,578,21645,3079,105418,38092,43715,1117404
4/16/2020,3786,168941,525,22170,2936,106607,40161,60999,1178403
4/17/2020,3493,172434,575,22745,2812,106962,42727,65705,1244108
4/18/2020,3491,175925,482,23227,2733,107771,44927,61725,1305833
4/19/2020,3047,178972,433,23660,2635,108257,47055,50708,1356541
4/20/2020,2256,181228,454,24114,2573,108237,48877,41483,1398024
4/21/2020,2729,183957,534,24648,2471,107709,51600,52126,1450150
4/22/2020,3370,187327,437,25085,2384,107699,54543,63101,1513251
4/23/2020,2646,189973,464,25549,2267,106848,57576,66658,1579909
4/24/2020,3021,192994,420,25969,2173,106527,60498,62447,1642356
